"name","type"
"Achenbach, T. M.","NA"
"Adair, C. E.","NA"
"Abildgren, L.","NA"
"Agerbo, E.","NA"
"Albieri, V.","NA"
"Alcohol Clinical Trials, Workgroup","NA"
"Aldana, B. I.","NA"
"Alizadeh, H.","NA"
"Almqvist, F.","NA"
"Almvik, R.","NA"
"Amorim, L. S. D.","NA"
"Andelic, N.","NA"
"Andersen, D. C.","NA"
"Andersen, E. A. W.","NA"
"Andersen, J. H.","NA"
"Andersen, K.","ADULT"
"Andersen, M. S.","NA"
"Andersen, P. T.","NA"
"Andersen, T. E.","NA"
"Andersen, T. L.","NA"
"Andersen-Ranberg, N.","NA"
"Andersson, G.","NA"
"Andrade, D. M.","NA"
"Andreasson, S.","NA"
"Anhoj, S. J.","ADULT"
"Anthony, D. C.","NON"
"Anton, R.","NA"
"Anzalone, M.","NA"
"Araj-Khodaei, M.","NA"
"Araya, R.","NA"
"Arnfred, S. M. H.","NA"
"Ascone, L.","NA"
"Asherson, P.","NA"
"Ashton-James, C. E.","NA"
"Asmussen, J.","BUP"
"Astvad, M.","NA"
"Aunan-Diop, J. S.","NA"
"Austin, S. F.","NA"
"Axelsson, M.","NA"
"Babic Perhoc, A.","NA"
"Badalzadeh, R.","NA"
"Baker, J.","NA"
"Banaschewski, T.","NA"
"Bang-Moller, S. K.","NA"
"Banos, R.","NA"
"Barfod, S.","NA"
"Barington, T.","NA"
"Barkovits, K.","NA"
"Bartek, J.","NA"
"Bartek, J., Jr.","NA"
"Baskaran, R.","NA"
"Basu, M. N.","NA"
"Baumbach, J.","NON"
"Beck, H. C.","NA"
"Begovac, I.","NA"
"Behrendt, S.","ADULT"
"Beier, C. P.","NON"
"Bender, D.","NA"
"Benedikz, E.","NA"
"Benros, M. E.","NA"
"Bente, L. M.","NA"
"Berger, T.","NA"
"Bergh, M. S.","NA"
"Bergholt, B.","NA"
"Bergink, V.","NA"
"Berring, L. L.","NA"
"Bidstrup, P. E.","NA"
"Bikic, A.","BUP"
"Bilberg, R.","ADULT"
"Bilenberg, N.","BUP"
"Bird, H.","NA"
"Birkeland, S. F.","ADULT"
"Bisgaard, H.","NA"
"Bjarkam, C. R.","NA"
"Bjerck-Amundsen, F.","NA"
"Bjorner, J. B.","NA"
"Bliddal, M.","NA"
"Blaabjerg, M.","NON"
"Bogenschutz, M.","NA"
"Boggild, H.","NA"
"Bonnelykke, K.","NA"
"Botella, C.","NA"
"Botker, M. T.","NA"
"Boye, H.","NA"
"Brabrand, M.","NA"
"Brambilla, R.","NA"
"Braun-Michl, B.","NA"
"Bricca, A.","NA"
"Broberg, A. G.","NA"
"Brochner, C. B.","NA"
"Broe, A.","NA"
"Bruni, O.","NA"
"Bu Hringer, G.","NA"
"Buhmann, C.","NA"
"Buhringer, G.","ADULT"
"Buitelaar, J.","NA"
"Burr, H.","NA"
"Buus, N.","NA"
"Byg, K. E.","NA"
"Cantio, C.","NA"
"Center-Tbi Participants","NA"
"Cerga Pashoja, A.","NA"
"Chahed, M.","NA"
"Chang, N. H. S.","NA"
"Chawes, B.","NA"
"Chemke-Dreyfus, A.","NA"
"Christensen, J.","NA"
"Christensen, L. F.","ADULT"
"Christensen, R. H.","NA"
"Christensen, T. N.","NA"
"Christesen, H. T.","NA"
"Christiansen, R.","ADULT"
"Cieslak, R.","NA"
"Clausen, B. H.","NON"
"Clausen, L.","NA"
"Clausen, T.","NA"
"Clemmesen, J. O.","NA"
"Collingwood, A.","NA"
"Coman, K. E.","NA"
"Conway, P. M.","NA"
"Cordova Calderon, M. A.","NA"
"Cormand, B.","NA"
"Correll, C. U.","NA"
"Crosbie, J.","NA"
"Crudgington, H.","NA"
"Cumming, P.","NA"
"Dahl Steffensen, K.","NA"
"Dahlrot, R. H.","NA"
"Dalgas, U.","NA"
"Dalsgaard, S.","NON"
"Dalton, S. O.","NA"
"Damkier, P.","NA"
"Damsgaard, J. B.","NA"
"Dang, H. M.","NA"
"Davidsen, K. A.","BUP"
"de Bejczy, A.","NA"
"De Marco, L.","NA"
"Degn, M.","NA"
"Diniz, M. G.","NA"
"Dobrean, A.","NA"
"Dopfner, M.","NA"
"Doudet, D. J.","NA"
"Doyle, A. E.","NA"
"Dreier, J. W.","NA"
"Duarte-Andrade, F. F.","NA"
"Dunstan, I. K.","NA"
"Ebdrup, B. H.","NA"
"Eberhard-Gran, M.","NA"
"Ebert, D. D.","NA"
"Ebrahimi, A.","NA"
"Eggers, B.","NA"
"Eisenacher, M.","NA"
"Ejlersen, M.","NON"
"Ekstrom, T. J.","NA"
"Elkjaer, M. L.","NA"
"Ellingsen, T.","NA"
"Ellman, D. G.","NA"
"Emiliussen, J.","ADULT"
"Engelsen, S.","NA"
"Eplov, L. F.","NA"
"Eriksson, L. E.","NA"
"Erlang Sorensen, M.","NA"
"Erlangsen, A.","NON"
"Ernst, M. T.","NA"
"Erol, N.","NA"
"Fagerlund, B.","NA"
"Falk, D.","NA"
"Falster, C.","NA"
"Faraone, S. V.","NA"
"Fathabadipour, S.","NA"
"Felicori, L. F.","NA"
"Fex Svenningsen, A.","NON"
"Fex-Svenningsen, A.","NON"
"Fink-Jensen, A.","NA"
"Finsen, B.","NON"
"Fluttert, F.","ADULT"
"Foli-Andersen, P.","NA"
"Folker, M. P.","NA"
"Folsgaard, N.","NA"
"Fonagy, P.","NA"
"Fong, C. Y.","NA"
"Forns, M.","NA"
"Francioli, L.","NA"
"Frandsen, C. L. B.","NA"
"Frandsen, T. F.","NA"
"Franke, B.","NA"
"Frederiksen, J. L.","NA"
"Freund, K. M.","NA"
"Frich, L. H.","NA"
"Frisch, T.","NA"
"Frokjaer, V. G.","NA"
"Fuentes, J.","NA"
"Fugleholm, K.","NA"
"Fuglsang, E. H.","NA"
"Fusaroli, R.","NA"
"Gaist, T. A.","NA"
"Gao, H.","NA"
"Garcia-Palacios, A.","NA"
"Garde, A. H.","NA"
"Gardella, E.","NA"
"Gasse, C.","NA"
"Gelderblom, M.","NA"
"Gerlach, M.","NA"
"Gesche, J.","NA"
"Gildberg, F.","ADULT"
"Gildberg, F. A.","ADULT"
"Gjedde, A.","NON"
