"journal","jif2021","source"
"Acta Neurochir (Wien)",2.816,"JCR"
"Acta Neurol Scand",3.915,"JCR"
"Acta Neuropsychiatr",4.513,"JCR"
"Acta Psychiatr Scand",7.734,"JCR"
"Addict Biol",4.093,"JCR"
"Addiction",7.256,"JCR"
"Adv Simul (Lond)",3.7,"exaly"
"Alcohol Clin Exp Res",3.928,"JCR"
"Am J Psychiatry",19.248,"JCR"
"Appl Res Qual Life",3.447,"JCR"
"Arch Psychiatr Nurs",2.242,"JCR"
"Aust N Z J Psychiatry",5.598,"JCR"
"Autism",6.684,"JCR"
"Autism Res",4.633,"JCR"
"BMC Health Serv Res",2.908,"JCR"
"BMC Med Ethics",2.834,"JCR"
"BMC Med Inform Decis Mak",3.298,"JCR"
"BMC Prim Care",2.634,"biomedcentral"
"BMC Public Health",4.135,"JCR"
"BMJ",5.331,"JCR"
"BMJ Open",3.007,"JCR"
"BMJ Open Sport Exerc Med",0.82,"JCR"
"Basic Clin Pharmacol Toxicol",3.688,"JCR"
"Behav Cogn Psychother",2.467,"JCR"
"Biol Psychiatry Glob Open Sci",0,"https://www.bpsgos.org/content/faqs"
"Biology (Basel)",5.168,"JCR"
"Br J Clin Pharmacol",3.716,"JCR"
"Brain Imaging Behav",3.224,"JCR"
"Brain Sci",3.333,"JCR"
"Brain Tumor Pathol",3.154,"JCR"
"Camb Q Healthc Ethics",1.566,"JCR"
"Cancer Causes Control",2.532,"JCR"
"Case Rep Psychiatry",0.74,"resurchify"
"Cells",7.666,"JCR"
"Clin Biomech (Bristol, Avon)",2.034,"JCR"
"Clin Epidemiol",5.814,"JCR"
"Clin Exp Pharmacol Physiol",2.963,"JCR"
"Curr Neuropharmacol",7.708,"JCR"
"Curr Opin Pharmacol",4.768,"JCR"
"Current Psychology",2.387,"JCR"
"Digit Health",4.687,"JCR"
"Drug Alcohol Depend",4.852,"JCR"
"Eat Weight Disord",3.008,"JCR"
"Environ Res",8.431,"JCR"
"Epidemiol Psychiatr Sci",7.818,"JCR"
"Eur Child Adolesc Psychiatry",5.349,"JCR"
"Eur J Oral Sci",2.16,"JCR"
"Eur J Pain",3.651,"JCR"
"European Psychiatry",7.156,"JCR"
"Expert Opin Investig Drugs",6.498,"JCR"
"Front Cardiovasc Med",5.848,"JCR"
"Front Endocrinol (Lausanne)",6.055,"JCR"
"Front Immunol",8.787,"JCR"
"Front Psychiatry",5.435,"JCR"
"Front Sports Act Living",0.66,"JCR"
"Injury",2.687,"JCR"
"Int J Eat Disord",5.791,"JCR"
"Int J Environ Res Public Health",4.614,"JCR"
"Int J Law Psychiatry",2.479,"JCR"
"Int J Mol Sci",6.208,"JCR"
"Int J Qual Stud Health Well-being",2.179,"JCR"
